PIT TAG,DATE,Time,RESEARCHER,RECAP,CAUGHT 2021,SPECIES,WEATHER,CLOUD COV,AIR TEMP,GROUND TEMP,DET,BEHAVIOUR,MACRO HAB,MICRO HAB,LOCATION,Easting,Northing,DEN,PILLOW,SVL,S+B,BAG,MASS,SEX,AGE CLASS,REPRO,OVA COUNT,DIST BUI,DIST RD,DIR BUI,DIR RD,RELOC,REL TIME,REL DAY,REL LOC,DAY CAP,RATTLE,FOOD,POOP,DEMEANOR,COMMENTS
989001005710932,04-02-2021,13:20,"CRH, MN, MRM",YES,NO,RATTLE,SUN,10,21.3,22,SIGHT,BASKING,TALUS/OPEN FOREST,ON ROCKS,INTERPRETIVE TRAIL SHED SITE,322287,5435284,NA,PAISLEY,68.9,387,86,301,F,ADULT,GRAVID,4,350,350,SW,SW,NO,13:30,04-02-2021,SAME AS CAPTURE,0,"10 BROKEN, 1 SHED SINCE 2019",NO,NO,,
982091062751227,04-02-2021,14:10,"CRH, MN, MRM",NO,NO,RATTLE,SUN,10,21.1,21.3,SIGHT/SOUND,BASKING,TALUS/ROCK OUTCROP,IN ROCKS,RC DEN,322479,5435557,RC DEN,PAISLEY,50.1,164,86,78,F,SUB ADULT,NON GRAVID,NA,700,740,SW,SW,NO,14:25,04-02-2021,SAME AS CAPTURE,0,2+B,NO,NO,,
982091062751160,04-02-2021,14:10,"CRH, MN, MRM",NO,NO,RATTLE,SUN,10,21.1,21.3,SIGHT/SOUND,BASKING,TALUS/ROCK OUTCROP,IN ROCKS,RC DEN,322479,5435557,RC DEN,PAISLEY,57.7,211,86,125,M,ADULT,NA,NA,700,740,SW,SW,NO,14:35,04-02-2021,SAME AS CAPTURE,0,4+B,NO,NO,,
989001006112852,04-02-2021,14:10,"CRH, MN, MRM",YES,NO,RATTLE,SUN,10,21.1,21.3,SIGHT/SOUND,BASKING,TALUS/ROCK OUTCROP,IN ROCKS,RC DEN,322479,5435557,RC DEN,PAISLEY,62.4,299,86,213,F,ADULT,GRAVID,4,700,740,SW,SW,NO,14:45,04-02-2021,SAME AS CAPTURE,0,"8 BROKEN, 2 SHEDS SINCE 2019",NO,YES,,"2017 TELEMETRY SNAKE, NAGINI - SCARS LOOK GOOD, HEALTHY"
4C132C3146,04-02-2021,14:10,"CRH, MN, MRM",YES,NO,RATTLE,SUN,10,21.1,21.3,SIGHT/SOUND,BASKING,TALUS/ROCK OUTCROP,IN ROCKS,RC DEN,322479,5435557,RC DEN,PAISLEY,77.7,400,86,314,M,ADULT,NA,NA,700,740,SW,SW,NO,14:53,04-02-2021,SAME AS CAPTURE,0,"2 BROKEN, NO SHED SINCE 2020",NO,NO,,
0A180D5F47,04-02-2021,14:10,"CRH, MN, MRM",YES,NO,RATTLE,SUN,10,21.1,21.3,SIGHT/SOUND,BASKING,TALUS/ROCK OUTCROP,IN ROCKS,RC DEN,322479,5435557,RC DEN,PAISLEY,65.2,279,86,193,F,ADULT,GRAVID,3,700,740,SW,SW,NO,15:04,04-02-2021,SAME AS CAPTURE,0,"6 BROKEN, 1 SHED SINCE 2020",NO,NO,,SOME SCARRING ON LOWER BODY
989001006782092,04-02-2021,15:20,"CRH, MN, MRM",YES,NO,RATTLE,SUN,0,21.1,21.3,SIGHT/SOUND,BASKING,TALUS/ROCK OUTCROP,IN ROCKS,RC DEN,322479,5435557,RC DEN,PAISLEY,64.4,349,86,263,F,ADULT,GRAVID,5,700,740,SW,SW,NO,15:30,04-02-2021,SAME AS CAPTURE,0,"8 BROKEN, 2 SHEDS SINCE 2019",NO,YES,,"2019 TELEMETRY SNAKE, JANE - HEALTHY, LARGE CHUNK OF POOP (STUCK)"
4462123422,04-02-2021,15:20,"CRH, MN, MRM",YES,NO,RATTLE,SUN,0,21.1,21.3,SIGHT/SOUND,BASKING,TALUS/ROCK OUTCROP,IN ROCKS,RC DEN,322479,5435557,RC DEN,PAISLEY,67.7,409,86,323,F,ADULT,GRAVID,5,700,740,SW,SW,NO,15:40,04-02-2021,SAME AS CAPTURE,0,"9 BROKEN, 5 SHEDS SINCE 2016",NO,NO,,
989001006112863,04-02-2021,15:20,"CRH, MN, MRM",YES,NO,RATTLE,SUN,0,21.1,21.3,SIGHT/SOUND,BASKING,TALUS/ROCK OUTCROP,IN ROCKS,RC DEN,322479,5435557,RC DEN,PAISLEY,68.5,336,86,250,F,ADULT,GRAVID,5,700,740,SW,SW,NO,15:45,04-02-2021,SAME AS CAPTURE,0,"5 BROKEN, 4 SHEDS SINCE 2017",NO,NO,,OVA HIGHER IN BODY THAN USUAL
989001006112830,04-02-2021,15:20,"CRH, MN, MRM",YES,NO,RATTLE,SUN,0,21.1,21.3,SIGHT/SOUND,BASKING,TALUS/ROCK OUTCROP,IN ROCKS,RC DEN,322479,5435557,RC DEN,PAISLEY,64.4,254,86,168,F,ADULT,PP,NA,700,740,SW,SW,NO,15:51,04-02-2021,SAME AS CAPTURE,0,"7 BROKEN, NO SHED SINCE 2020",NO,NO,,
4C3B6E6F56,04-02-2021,15:20,"CRH, MN, MRM",YES,NO,RATTLE,SUN,0,21.1,21.3,SIGHT/SOUND,BASKING,TALUS/ROCK OUTCROP,IN ROCKS,RC DEN,322479,5435557,RC DEN,PAISLEY,66,332,86,246,F,ADULT,GRAVID,5,700,740,SW,SW,NO,16:00,04-02-2021,SAME AS CAPTURE,0,"6 BROKEN, 4 SHEDS SINCE 2016",NO,NO,,
982091062751180,04-02-2021,16:27,"CRH, MN, MRM",NO,NO,GOPHER,SUN,20,22,16.3,SIGHT,STRETCHED,INTERP TRAIL,ON TRAIL,INTERP TRAIL NEAR BIG SAGE SIGN,322202,5435125,NA,PAISLEY,82.3,269,86,183,M,SUB ADULT,NA,NA,190,220,SW,SW,NO,16:37,04-02-2021,SAME AS CAPTURE,0,NA,MOUSE,NO,CALM,
982091062751182,04-03-2021,12:55,"CRH, MN",NO,NO,RATTLE,CLOUD,90,19.1,18.6,SIGHT/SOUND,BASKING,TALUS,IN ROCKS,DEN 6,322936,5435286,DEN 6,PAISLEY,39.9,129,86,43,F,JUVENILE,NON GRAVID,NA,480,480,SW,SW,NO,13:03,04-03-2021,SAME AS CAPTURE,0,1+B,NO,NO,,
989001004384272,04-03-2021,12:55,"CRH, MN",YES,NO,RATTLE,CLOUD,90,19.1,18.6,SIGHT/SOUND,BASKING,TALUS,IN ROCKS,DEN 6,322936,5435286,DEN 6,PAISLEY,67.4,247,86,161,M,ADULT,NA,NA,480,480,SW,SW,NO,13:16,04-03-2021,SAME AS CAPTURE,0,"8 BROKEN, 2 SHEDS SINCE 2019",NO,NO,,"2016 TELEMETRY SNAKE, GOLF - GOOD HEALTH"
989001005710862,04-03-2021,12:55,"CRH, MN",YES,NO,RATTLE,CLOUD,90,19.1,18.6,SIGHT/SOUND,BASKING,TALUS,IN ROCKS,DEN 6,322936,5435286,DEN 6,PAISLEY,61.5,214,86,128,F,ADULT,PP,NA,480,480,SW,SW,NO,13:23,04-03-2021,SAME AS CAPTURE,0,"8 BROKEN, 2 SHEDS SINCE 2019",NO,NO,,"2018 TELEMETRY SNAKE, URANIA - LOOKS SKINNY (PP) BUT HEALTHY"
982091062751178,04-03-2021,12:55,"CRH, MN",NO,NO,RATTLE,CLOUD,90,19.1,18.6,SIGHT/SOUND,BASKING,TALUS,IN ROCKS,DEN 6,322936,5435286,DEN 6,PAISLEY,61.3,276,86,190,F,ADULT,GRAVID,4,480,480,SW,SW,NO,13:31,04-03-2021,SAME AS CAPTURE,0,5+B,NO,NO,,
989001006112876,04-03-2021,12:55,"CRH, MN",YES,NO,RATTLE,CLOUD,90,19.1,18.6,SIGHT/SOUND,BASKING,TALUS,IN ROCKS,DEN 6,322936,5435286,DEN 6,PAISLEY,61,UNKNOWN,UNKNOWN,UNKNOWN,M,ADULT,NA,NA,480,480,SW,SW,NO,13:39,04-03-2021,SAME AS CAPTURE,0,"7+B, 5 SHEDS SINCE 2017",NO,NO,,FORGOT TO WRITE DOWN WEIGHT
982126057821570,04-03-2021,12:55,"CRH, MN",YES,NO,RATTLE,CLOUD,90,19.1,18.6,SIGHT/SOUND,BASKING,TALUS,IN ROCKS,DEN 6,322936,5435286,DEN 6,PAISLEY,62.3,308,86,222,F,ADULT,GRAVID,4,480,480,SW,SW,NO,13:45,04-03-2021,SAME AS CAPTURE,0,"8 BROKEN, NO SHED SINCE 2020",NO,NO,,
